Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
11.0,Sat,2017-10-28,20:00,Guingamp,Amiens,0.9,0.3,1–1,13809.0,Karim Abed,2017-2018,113
11.0,Sat,2017-10-28,20:00,Caen,Troyes,0.6,1.1,1–0,16908.0,Jérôme Miguelgorry,2017-2018,114
11.0,Sat,2017-10-28,20:00,Strasbourg,Angers,2.0,0.7,2–2,25011.0,Amaury Delerue,2017-2018,115
11.0,Sun,2017-10-29,15:00,Lyon,Metz,1.1,0.6,2–0,53921.0,Benoît Millot,2017-2018,116
11.0,Sun,2017-10-29,17:00,Toulouse,Saint-Étienne,0.7,1.0,0–0,15062.0,Jérôme Brisard,2017-2018,117
11.0,Sun,2017-10-29,21:00,Lille,Marseille,1.0,0.8,0–1,43948.0,François Letexier,2017-2018,118
12.0,Fri,2017-11-03,20:45,Rennes,Bordeaux,0.6,0.4,1–0,24547.0,Ruddy Buquet,2017-2018,120
12.0,Sat,2017-11-04,17:00,Angers,Paris S-G,0.5,2.5,0–5,12381.0,Benoît Bastien,2017-2018,121
12.0,Sat,2017-11-04,20:00,Montpellier,Amiens,1.0,0.5,1–1,10149.0,Stéphane Jochem,2017-2018,122
12.0,Sat,2017-11-04,20:00,Nantes,Toulouse,0.7,0.8,2–1,21390.0,Antony Gautier,2017-2018,123
12.0,Sat,2017-11-04,20:00,Monaco,Guingamp,2.7,0.5,6–0,7066.0,Mikael Lesage,2017-2018,124
12.0,Sat,2017-11-04,20:00,Troyes,Strasbourg,2.5,0.7,3–0,10260.0,Thomas Léonard,2017-2018,125
12.0,Sun,2017-11-05,15:00,Nice,Dijon,1.3,0.6,1–0,18987.0,Olivier Thual,2017-2018,126
12.0,Sun,2017-11-05,17:00,Metz,Lille,2.2,1.5,0–3,12506.0,Jérôme Brisard,2017-2018,127
